EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_OPTION,SNAPSHOT_TAKEN,DB2_VERSION,SQL_TYPE,QUERYOPT,BLOCK,ISOLATION,BUFFPAGE,AVG_APPLS,SORTHEAP,LOCKLIST,MAXLOCKS,LOCKS_AVAIL,CPU_SPEED,REMARKS,DBHEAP,COMM_SPEED,PARALLELISM,DATAJOINER,25,EXECUTION_TIME
DB2INST1,2025-02-24 19:54:16.324073,SYSSH200,NULLID  ,,S,N,11.05.8,D,7,B,CS,216564,1,71903,382440,98,11993318,1.7712910960199224e-07,,6485,100.0,N ,Y,0100000000000000230A00000000000000000000020020250224195408219146,2025-02-24 19:54:08.220844
DB2INST1,2025-02-24 19:54:31.672438,SYSSH200,NULLID  ,,S,N,11.05.8,D,7,B,CS,216564,1,71903,382440,98,11993318,1.7712910960199224e-07,,6485,100.0,N ,Y,0100000000000000590A00000000000000000000020020250224195421760067,2025-02-24 19:54:29.754345
DB2INST1,2025-02-24 19:54:49.677516,SYSSH200,NULLID  ,,S,N,11.05.8,D,7,B,CS,216564,1,71903,382440,98,11993318,1.7712910960199224e-07,,6485,100.0,N ,Y,01000000000000007A0A00000000000000000000020020250224195436881231,2025-02-24 19:54:47.058939
