EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,OPERATOR_ID,OPERATOR_TYPE,TOTAL_COST,IO_COST,CPU_COST,FIRST_ROW_COST,RE_TOTAL_COST,RE_IO_COST,RE_CPU_COST,COMM_COST,FIRST_COMM_COST,BUFFERS,REMOTE_TOTAL_COST,REMOTE_COMM_COST
DB2INST1,2025-02-23 13:36:55.144950,SYSSH200,NULLID  ,,S,1,4,1,RETURN,145630.25,-1.0,-1.0,145630.25,-1.0,-1.0,-1.0,-1.0,-1.0,94793.0,-1.0,-1.0
DB2INST1,2025-02-23 13:36:55.144950,SYSSH200,NULLID  ,,S,1,4,2,TQ    ,145630.25,-1.0,-1.0,145630.25,-1.0,-1.0,-1.0,-1.0,-1.0,94793.0,-1.0,-1.0
DB2INST1,2025-02-23 13:36:55.144950,SYSSH200,NULLID  ,,S,1,4,3,HSJOIN,145630.25,-1.0,-1.0,145630.25,-1.0,-1.0,-1.0,-1.0,-1.0,94793.0,-1.0,-1.0
DB2INST1,2025-02-23 13:36:55.144950,SYSSH200,NULLID  ,,S,1,4,4,TBSCAN,132154.625,-1.0,-1.0,7.14673376083374,-1.0,-1.0,-1.0,-1.0,-1.0,94793.0,-1.0,-1.0
DB2INST1,2025-02-23 13:36:55.144950,SYSSH200,NULLID  ,,S,1,4,5,TBSCAN,13465.1162109375,-1.0,-1.0,8.035881042480469,-1.0,-1.0,-1.0,-1.0,-1.0,9693.0,-1.0,-1.0
